מזהה,סוג,"מק""ט","GTIN, UPC, EAN, or ISBN",שם,פורסם,האם מומלץ?,נראות בקטלוג,Unnamed: 8,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,סטטוס מס,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,"משקל (ק""ג)",אורך (סנטימטרים),רוחב (סנטימטרים),גובה (סנטימטרים),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,קטגוריות,תגיות,סוג משלוח,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,Rey Swatches,Rey Variations extra images,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,כלים: _wp_page_template,כלים: product_subtitle_text,כלים: _product_subtitle_text,כלים: title_display,כלים: _title_display,כלים: page_cover,כלים: _page_cover,כלים: rey_body_class,כלים: _rey_body_class,כלים: header_layout_type,כלים: _header_layout_type,כלים: header_text_color,כלים: _header_text_color,כלים: header_position,כלים: _header_position,כלים: custom_logo,כלים: _custom_logo,כלים: logo_mobile,כלים: _logo_mobile,כלים: footer_layout_type,כלים: _footer_layout_type,כלים: custom_container_width,כלים: _custom_container_width,כלים: container_spacing,כלים: _container_spacing,כלים: content_padding_top,כלים: _content_padding_top,כלים: content_padding_bottom,כלים: _content_padding_bottom,כלים: content_padding,כלים: _content_padding,כלים: global_sections,כלים: _global_sections,כלים: general_redirect,כלים: _general_redirect,כלים: top_sticky_gs,כלים: _top_sticky_gs,כלים: bottom_sticky_gs,כלים: _bottom_sticky_gs,כלים: perf__disable_wpblock,כלים: _perf__disable_wpblock,כלים: perf__disable_wcblock,כלים: _perf__disable_wcblock,כלים: product_info,כלים: _product_info,כלים: single_specifications_block,כלים: _single_specifications_block,כלים: buynow_pdp__enable,כלים: _buynow_pdp__enable,כלים: gs_before_atc,כלים: _gs_before_atc,כלים: enable_text_before_add_to_cart,כלים: _enable_text_before_add_to_cart,כלים: gs_after_atc,כלים: _gs_after_atc,כלים: enable_text_after_add_to_cart,כלים: _enable_text_after_add_to_cart,כלים: estimated_delivery__hide,כלים: _estimated_delivery__hide,כלים: estimated_delivery__days,כלים: _estimated_delivery__days,כלים: estimated_delivery__days_margin,כלים: _estimated_delivery__days_margin,כלים: estimated_delivery__custom_text,כלים: _estimated_delivery__custom_text,כלים: product_360_images,כלים: _product_360_images,כלים: badges,כלים: _badges,כלים: quantity_options_minimum,כלים: _quantity_options_minimum,כלים: quantity_options_maximum,כלים: _quantity_options_maximum,כלים: quantity_options_step,כלים: _quantity_options_step,כלים: quantity_options,כלים: _quantity_options,כלים: content_before,כלים: _content_before,כלים: content_after,כלים: _content_after,כלים: product_stretch,כלים: _product_stretch,כלים: product_video_url,כלים: _product_video_url,כלים: product_video_main_image,כלים: _product_video_main_image,כלים: product_video_summary,כלים: _product_video_summary,כלים: product_video_modal_ratio,כלים: _product_video_modal_ratio,כלים: product_custom_tabs,כלים: _product_custom_tabs,כלים: product_content_after_summary,כלים: _product_content_after_summary,כלים: product_content_after_content,כלים: _product_content_after_content,כלים: rs_page_bg_color,כלים: _rey_qty_per_variation_min,כלים: _rey_qty_per_variation_max,כלים: _rey_qty_per_variation_step,כלים: __is_newly_created_product
,variation,cusdes-BX-49908-l,,גופיית אהבה היא אהבה,1,,hidden,,"שנו את העולם בכך שתהיו עצמכם כשאתם לובשים את גופיית Love Is Love שלנו, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. האמנים המוכשרים שלנו יצרו את צורת הלב בצבעי הקשת.",,,none,,1,1,,0,0,,,,,,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/f-FHTankTop1608_c4ede98f-c4a4-4ef7-8fb7-21fe6c106d4d.jpg?v=1633507958, https://cdn.shopify.com/s/files/1/2309/3869/products/s-FHTankTop1608_fe004f21-7601-4eef-80d5-f5e922fcc158.jpg?v=1633507959, https://cdn.shopify.com/s/files/1/2309/3869/products/b-FHTankTop1608_fdb4210a-6c62-4dbd-b2cf-de06e73afb44.jpg?v=1633507959",,,cusdes-BX-49908,,,,,,,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,cusdes-BX-47900-l,,גופיית מבול,1,,hidden,,"לא משנה כמה אפלים הדברים, שחו עם הזרם לובשים את גופיית Deluge, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. ההדפס המהפנט של גלי דמויות מצוירות לכל אורכו נוצר על ידי צוות המעצבים המוכשר שלנו.",,,none,,1,1,,0,0,,,,,,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189279--Waves-Tank-front.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189280--Waves-Tank-side.jpg?v=1614002810, https://cdn.shopify.com/s/files/1/2309/3869/products/189278--Waves-Tank-back.jpg?v=1614002810",,,cusdes-BX-47900,,,,,,,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,cusdes-BX-54010-m,,גופיית קשת בענן של קוביות,1,,hidden,,"הוסיפו צבעים מנזריים לקולקציות שלכם עם גופיית הקשת בענן Cubes, בעלת עיצוב בהתאמה אישית, עשויה מפוליאסטר איכותי. צוות האמנים שלנו יצר את הדוגמה הגיאומטרית הזו כדי להראות את כוחה של האהבה.",,,none,,1,1,,0,0,,,,,,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217632--f-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217630--s-FH-TankTop-1608.jpg?v=1653035498, https://cdn.shopify.com/s/files/1/2309/3869/products/217631--b-FH-TankTop-1608.jpg?v=1653035498",,,cusdes-BX-54010,,,,,,,,,מידה,m,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19530.0,variation,cusdes-BX-22181-l,,גופיית רעש גולגולת,1,0.0,hidden,,"השג דימויים עזים לימים נוחים עם גופיית Skull Noise, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. צוות האמנים שלנו עיצב את הדפס הקוסמוס הכהה המדהים עם קבוצת כוכבים של גולגולת.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/35d11cba.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/29568ae0.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/b4e9893a.jpg",,,cusdes-BX-22181,,,,,,0.0,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19540.0,variation,cusdes-BX-44930-l,,גופיית Madness,1,0.0,hidden,,"סגנון פנטסטי הוא שלך עם גופיית Madness שלנו, עם עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. הדפס הסלוגן מהסרט האהוב עליך עוצב על ידי צוות האמנים שלנו.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/173758-front_20-_202020-11-10T142926.538.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/173756-side_20-_202020-11-10T142931.270.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/173755-back_20-_202020-11-10T142928.994.jpg",,,cusdes-BX-44930,,,,,,0.0,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19520.0,variation,cusdes-BX-48638-l,,גופיית קרח סגולה,1,0.0,hidden,,"צבעו את חייכם בגופיית הקרח הסגולה, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר איכותי. הדוגמה הסגולה-כחולה עוצבה על ידי צוות האמנים שלנו, ויצרה סגנונות מנוגדים.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/7-f-FHTankTop1608.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/7-s-FHTankTop1608.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/7-b-FHTankTop1608.jpg",,,cusdes-BX-48638,,,,,,0.0,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19516.0,variation,cusdes-BX-38977-l,,גופיית נחשים שחורים,1,0.0,hidden,,"רעננו את המראה שלכם בסטייל עז עם גופיית הנחשים השחורים, מקולקציית APC שלנו. גופייה בעיצוב בהתאמה אישית, עשויה מפוליאסטר איכותי. צוות הגרפיקאים המוכשרים שלנו עיצב את העיצוב המונוכרומטי המפחיד הזה עם נחשים שחורים שורקים לכל אורכו.
 \n
 \n&nbsp;",,,none,,1,2,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/148493.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/148494.jpg",,,cusdes-BX-38977,,,,,,0.0,,,מידה,l,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19542.0,variation,cusdes-BX-42099-m,,גופיית שקיעה בלום,1,0.0,hidden,,"גופיית Sunset Bloom שלנו תשמור עלייך נעימה ונוחה בסטייל יפהפה. בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. עיצוב העלים המרתק והצבעוני נוצר על ידי האמנים המקומיים שלנו.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-topfront.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-topside.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/Sunset-Bloom-tank-top-back.jpg",,,cusdes-BX-42099,,,,,,0.0,,,מידה,m,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19546.0,variation,cusdes-BX-47774-m,,גופיית פסיפס שבטית,1,0.0,hidden,,"הוסיפו מראה וינטג' אמנותי לקולקציה שלכם עם גופיית פסיפס שבטית, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. צוות האמנים המוכשרים שלנו יצר דוגמת פסיפס רטרו זו עם גרפיקה שבטית צבעונית ופרחים, כדי להוסיף עניין לכל תלבושת.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/188802-Tank-mockup_6_front.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/188803-Tank-mockup_6_side.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/188804-Tank-mockup_6_back.jpg",,,cusdes-BX-47774,,,,,,0.0,,,מידה,m,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19522.0,variation,cusdes-!BX-52737-m,,גופייה אדומה כחולה,1,0.0,hidden,,"הוסיפו קצת חיוניות למראה היומיומי שלכם עם גופייה אדומה-כחולה, בעלת עיצוב בהתאמה אישית, עשויה מ-100% פוליאסטר. הצבעוניות מאדום-כחולה עם גרפיקת לוגו קטנה נוצרה על ידי צוות האמנים שלנו.
 \n
 \n&nbsp;",,,none,,1,1,,0,0,,,,,0.0,,120.0,150,"גברים > בגדים, נשים > בגדים, גברים > בגדים > גופייה, נשים > בגדים > גופייה",גופייה,,"https://zeketa.co.il/wp-content/uploads/2026/01/211596-1-f-FH_20TankTop_201608.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/211597-1-s-FH_20TankTop_201608.jpg, https://zeketa.co.il/wp-content/uploads/2026/01/211595-1-b-FH_20TankTop_201608.jpg",,,cusdes-!BX-52737,,,,,,0.0,,,מידה,m,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
